"ID","Category","Scenario","Steps","Expected Outcome","Priority","Actual Outcome (Pass/Fail)","Notes"
"A1","Auth","Sign up with valid details","Go to /signup, enter a real email + password (10+ chars), solve Turnstile, submit","Account created; ""check your email"" screen shown; verification email sent","High","",""
"A2","Auth","Signup blocks short password","On /signup, enter a password under 10 characters","Browser blocks submit before any request is sent (minLength=10)","Medium","",""
"A3","Auth","Signup with existing email","Sign up again using an email that already has an account","Error message shown, no duplicate account created","Medium","",""
"A4","Auth","Login with correct credentials","Go to /login, enter correct email/password, solve Turnstile, submit","Redirected to /dashboard","High","",""
"A5","Auth","Login with wrong password","On /login, enter a wrong password and submit","Error shown, stays on login page, Turnstile widget resets to a fresh token","High","",""
"A6","Auth","Retry login after failed attempt","After A5, correct the password and submit again without re-solving Turnstile manually","Login succeeds (widget auto-reverified); no ""captcha protection: request disallowed"" error","High","",""
"A7","Auth","Unverified email gate","Log in with an account whose email isn't verified yet","Reaches /dashboard but sees ""verify your email"" message instead of holdings","High","",""
"A8","Auth","Email verification unlocks dashboard","Click the verification link from the signup email, then revisit /dashboard","Real holdings/dashboard content now shown instead of the verify-email gate","High","",""
"A9","Auth","Google OAuth login","Click ""Continue with Google"" and complete the flow","Redirected to /dashboard in the same language (PL/EN) that was active before starting OAuth","Medium","",""
"A10","Auth","Logout clears session","Click Logout while on the dashboard","Redirected to /; visiting /dashboard afterward redirects to /login","High","",""
"A11","Auth","Dashboard blocked when logged out","In a fresh/incognito browser, visit /dashboard directly","Redirected to /login, dashboard content never shown","High","",""
"A12","Auth","Landing page reflects logged-in state","While logged in, visit odlicz.com directly (type URL, don't click through app)","Header shows a ""Dashboard"" button, not Login/Signup; hero CTA says ""Go to dashboard""","High","",""
"A13","Auth","Submit blocked without Turnstile","On /login or /signup, fill the form but don't solve the Turnstile challenge","Submit button stays disabled","Medium","",""
"B1","Holdings","Add known-ticker holding","Click ""+ Add holding"", type a ticker from the autocomplete list (e.g. AAPL), fill quantity/date, submit","Holding appears immediately/fast (no external API call needed)","High","",""
